번호,약국명,토요일 시작,토요일 종료,일요일 시작,일요일 종료,공휴일 시작,공휴일 종료,위도,경도,구별
1154,새보은약국,0900,1700,,,,,37.647930200000005,127.03397079999999,도봉구
1155,종로세명약국,0900,2230,,,1400,2300,37.6625218,127.032467,도봉구
1156,민중약국,0900,1800,,,,,37.6388915,127.03809209999999,도봉구
1157,메디팜큰사랑약국,0900,2100,1030,2100,,,37.6488436,127.0352587,도봉구
1158,용호약국,0900,1600,,,,,37.650082700000006,127.0251933,도봉구
1159,꿈동산약국,0900,1600,,,,,37.6654506,127.04225149999999,도봉구
1160,종로프라자약국,0830,2200,0830,2200,,,37.652029299999995,127.0467461,도봉구
1161,도봉월드약국,0900,1600,,,,,37.6679862,127.0470453,도봉구
1162,쌍문상록수약국,0900,1900,,,,,37.6584113,127.03257590000001,도봉구
1163,스타빌약국,0900,1500,,,,,37.65249,127.0471165,도봉구
1164,새순보당약국,0900,1500,,,,,37.6389141,127.03778020000001,도봉구
1165,이화태평양약국,0900,2130,1100,2130,0900,2100,37.6391474,127.03820890000001,도봉구
1166,늘푸른약국,0900,1300,,,,,37.683731,127.04954,도봉구
1167,창동종로약국,0800,2130,0800,1930,0800,2130,37.652699600000005,127.0469574,도봉구
1168,하나약국,,,,,,,37.6724695,127.04634750000001,도봉구
1169,중앙온누리약국,,,,,,,37.639349700000004,127.03848159999998,도봉구
1170,창동남대문약국,0900,2200,0900,2200,,,37.638086799999996,127.0373172,도봉구
1171,영훈약국,0900,2200,,,,,37.637769299999995,127.0376091,도봉구
1172,혜민약국,1100,2100,,,,,37.6742906,127.04325449999999,도봉구
1173,송이약국,0830,2100,,,,,37.648334600000005,127.0318578,도봉구
1174,쌍문약국,0830,2200,,,,,37.648098600000004,127.0340695,도봉구
1175,대영약국,0830,2200,,,,,37.655487799999996,127.0369135,도봉구
1176,백세약국,0900,2100,,,,,37.6660674,127.0367746,도봉구
1177,보화당약국,0900,2230,,,0930,2230,37.6529434,127.05060230000001,도봉구
1178,태양당약국,0900,2100,,,,,37.6686519,127.03208590000001,도봉구
1179,정대식약국,0900,1300,,,,,37.649242,127.0509338,도봉구
1180,희정약국,0900,1500,,,,,37.685787899999994,127.0479503,도봉구
1181,부광약국,0900,1930,,,,,37.645738200000004,127.0531088,도봉구
1182,진성온누리약국,0900,1900,,,,,37.6652699,127.0425179,도봉구
1183,성가온누리약국,0900,1900,,,,,37.6674182,127.04110179999999,도봉구
1184,아름다운약국,0830,1400,,,,,37.6544377,127.0377487,도봉구
1185,명산약국,0900,1500,0900,1300,,,37.65116810000001,127.050345,도봉구
1186,웰빙약국,0900,1630,,,,,37.658274799999994,127.04101770000001,도봉구
1187,무지개온누리약국,0900,1900,,,,,37.647795,127.0338558,도봉구
1188,메디칼약국,0800,1700,,,,,37.664891499999996,127.04230179999999,도봉구
1189,월드중앙약국,0900,1600,,,,,37.6679862,127.0470453,도봉구
1190,메디칼2층약국,0930,1700,,,,,37.6485806,127.0350548,도봉구
1191,후문한일약국,0900,1300,0900,1200,,,37.6457729,127.03031599999998,도봉구
1192,푸른대우약국,0900,1500,,,,,37.6423565,127.0375024,도봉구
1193,파마트열린약국,0900,1900,1000,1600,,,37.658116899999996,127.0325037,도봉구
1194,건강제일녹십자약국,0900,1800,0900,1800,,,37.633819700000004,127.04120290000002,도봉구
1195,온누리수약국,0830,1800,,,,,37.6583229,127.03586370000001,도봉구
1196,쌍문마이팜약국,0800,1530,,,,,37.661502500000005,127.04138529999999,도봉구
1197,대웅약국,0900,1300,,,,,37.644323,127.029417,도봉구
1198,방학약국,0900,2200,,,,,37.6696209,127.0432872,도봉구
1199,후문약국,0900,1300,,,,,37.6471372,127.0302257,도봉구
1200,태양약국,0900,2200,1600,2200,0900,2000,37.6486098,127.0343291,도봉구
1201,도봉태평양약국,0900,2200,0900,2200,,,37.6777094,127.0447308,도봉구
1202,햇빛약국,0900,1600,,,,,37.6655115,127.03556440000001,도봉구
1203,새보은약국,0900,1700,,,,,37.655638,127.015593,도봉구
1204,늘푸른약국,0900,1300,,,,,37.676007299999995,127.0439455,도봉구
1205,도봉태평양약국,0900,2200,0900,2200,,,37.65356729999999,127.0504176,도봉구
1206,고명약국,1000,1700,,,,,37.6689818,127.04381459999999,도봉구
1207,일충프라자약국,0900,1500,,,,,37.6563598,127.0387723,도봉구
1208,뉴지명약국,,,,,,,37.638711,127.0384977,도봉구
1209,약손약국,0900,1530,,,,,37.6583968,127.04007539999999,도봉구
1210,신프라자약국,,,,,0900,1800,37.6401154,127.03913229999999,도봉구
1211,오약국,0930,1800,,,,,37.6675664,127.04549440000001,도봉구
1212,쉐르빌약국,0830,1630,,,,,37.6478375,127.03474820000001,도봉구
1213,초록약국,0900,1400,,,,,37.662151,127.0339543,도봉구
1214,건강제일녹십자약국,0900,1800,0900,1800,,,37.6583229,127.03586370000001,도봉구
1215,창동이화약국,0900,2030,0900,1300,,,37.651399,127.0458986,도봉구
1216,정민약국,0900,1600,,,,,37.683639,127.04562179999999,도봉구
1217,방학세계로약국,0900,2100,,,,,37.6622557,127.0344199,도봉구
1218,엔젤팜약국,0900,1530,,,,,37.6579398,127.038498,도봉구
1219,영락온누리약국,0900,2000,,,,,37.6710366,127.04109380000001,도봉구
1220,은혜약국,0900,1800,,,,,37.6490235,127.0358842,도봉구
1221,신창약국,0900,1530,,,,,37.640260999999995,127.0399723,도봉구
1222,상록수온누리약국,0900,1800,,,,,37.6652786,127.0357363,도봉구
1223,소망약국,0830,1300,,,,,37.6717809,127.04632579999999,도봉구
1224,삼성늘푸른약국,0800,1600,,,,,37.6478375,127.03474820000001,도봉구
1225,메디팜은아약국,0900,2030,,,,,37.670555,127.08179740000001,노원구
1226,한신약국,0900,2100,,,,,37.66475379999999,127.06808149999999,노원구
1227,노원행복한약국,,,,,,,37.62640579999999,127.0788436,노원구
1228,수락프라자약국,0900,2230,0900,2230,0900,2200,37.6774161,127.05485800000001,노원구
1229,두리약국,0900,2100,,,,,37.6705404,127.0787699,노원구
1230,바다약국,0830,1430,,,,,37.6498393,127.06128390000002,노원구
1231,건강샘온누리약국,,,,,,,37.6575352,127.0639274,노원구
1232,동산약국,0900,2100,,,,,37.6428027,127.0664601,노원구
1233,이화약국,,,,,,,37.6597817,127.07319059999999,노원구
1234,보건약국,0900,1500,,,,,37.6464986,127.0688377,노원구
1235,인덕약국,0800,2200,1200,1830,,,37.6308761,127.06104209999998,노원구
1236,다정약국,0900,2200,,,0900,2100,37.6574623,127.0786935,노원구
1237,황인재약국,0900,1900,,,,,37.628695,127.05226599999999,노원구
1238,당고개약국,0900,2200,0900,2200,0900,2100,37.6708273,127.0799769,노원구
1239,오피앙약국,0900,1400,0900,1400,,,37.6802689,127.05486940000002,노원구
1240,온누리영광약국,,,,,,,37.667879799999994,127.0590436,노원구
1241,화인팜약국,0900,1300,,,,,37.6493794,127.0813895,노원구
1242,백경약국,0830,1800,,,,,37.6534006,127.05987009999998,노원구
1243,세일약국,0900,2100,,,,,37.6332505,127.06561440000002,노원구
1244,노원종로약국,0830,2100,,,0830,1900,37.628252200000006,127.0719634,노원구
1245,백약국,0900,1400,,,,,37.6491661,127.06240179999999,노원구
1246,삼호약국,0830,1500,,,,,37.6244076,127.0655937,노원구
1247,기쁨약국,0900,2100,,,,,37.6580408,127.0713479,노원구
1248,건강과행복이열리는약국,0900,2000,,,,,37.649198,127.07695749999999,노원구
