번호,약국명,일요일 시작,일요일 종료,위도,경도,구별
393,모범약국,1000,1900,37.5021823,127.0950148,송파구
394,가까운단골약국,1130,2200,37.5532743,127.1559359,강동구
395,메디팜신창약국,1100,2100,37.5515077,127.1277099,강동구
396,강동약국,1600,2100,37.5519808,127.1353165,강동구
397,새실로암약국,1000,2200,37.5499518,127.143503,강동구
398,태극약국,1700,2100,37.5606771,127.1624739,강동구
399,신연세약국,1000,1300,37.5545309,127.1350844,강동구
400,행복한약국,1000,1400,37.4830932,126.9252769,관악구
401,신한성약국,830,2200,37.4763516,126.9777694,관악구
402,헬로팜약국,1400,2300,37.5110296,127.0830765,송파구
403,뉴프라임약국,900,2200,37.494231,127.1177169,송파구
404,메디팜더미소약국,900,2100,37.5069886,127.1215255,송파구
405,신미소약국,1000,2300,37.4841828,126.9032353,관악구
406,가든건강약국,1000,1700,37.5049601,127.0847025,송파구
407,온누리대광약국,900,1800,37.4925953,126.8971845,영등포구
408,중앙약국,800,2200,37.5154709,126.9066823,영등포구
409,구명약국,1000,1930,37.4895765,126.9255086,관악구
410,두산약국,1700,2200,37.4867442,126.9453733,관악구
411,새난곡약국,900,1300,37.4736875,126.9184995,관악구
412,한얼메디칼약국,900,2100,37.4760399,126.9776742,관악구
413,365열린약국,1000,2300,37.4845117,126.9300644,관악구
414,고층약국,1400,1800,37.5124493,127.0933084,송파구
415,후생약국,930,2130,37.497363,127.15003,송파구
416,신대흥약국,900,1300,37.5210547,126.899121,영등포구
417,신길프라자약국,900,1300,37.5081661,126.905409,영등포구
418,종로온누리약국,1000,1800,37.4927568,126.9080731,영등포구
419,신세명약국,1000,2000,37.4974405,126.9035096,영등포구
420,관악수약국,900,2200,37.4706344,126.9337182,관악구
421,유쾌한약국,900,1300,37.4737949,126.9174296,관악구
422,새유명온누리약국,1000,1400,37.4902209,126.9291971,관악구
423,관악수약국,900,2200,37.4774868,126.961636,관악구
424,감초당약국,1400,2100,37.5070168,127.1079727,송파구
425,메디팜하나약국,830,1300,37.5003751,127.1110805,송파구
426,웃는내일약국,900,1300,37.5268553,126.8924014,영등포구
427,광혜약국,1300,2200,37.5478924,126.9455614,마포구
428,준약국,1000,1600,37.5669649,126.9097901,마포구
429,세계로약국,900,2100,37.498618,127.1471273,송파구
430,구원약국,1000,2000,37.5425545,126.9441373,마포구
431,자연약국,1900,2200,37.4851816,127.0186503,서초구
432,유경약국,900,2200,37.4938791,126.9860708,서초구
433,세계로약국,1400,2200,37.4797819,126.9821548,서초구
434,건강과행복이열리는약국,1300,2130,37.4943655,127.015124,서초구
435,굿모닝약국,900,2200,37.5041299,127.0030692,서초구
436,우리들약국,900,2230,37.5021218,127.0120092,서초구
437,곰돌이스타약국,900,1700,37.5013247,127.0254986,서초구
438,서초삼성약국,1000,2000,37.4955719,127.0270752,서초구
439,신오약국,1200,2200,37.4989982,127.025936,서초구
440,영동프라자약국,1100,1900,37.5084699,127.0220996,서초구
441,서원약국,1000,2000,37.5018765,127.00283,서초구
442,현대영약국,900,1530,37.4963126,127.0278447,서초구
443,두리약국,900,1300,37.4925425,127.0292585,서초구
444,신명성약국,900,1900,37.4987062,126.9985599,서초구
445,방배대한약국,1000,1630,37.4869655,126.9827324,서초구
446,녹십자약국,900,2200,37.4888111,126.9925406,서초구
447,교대사랑약국,900,2100,37.4952379,127.0180743,서초구
448,에이티약국,1300,1700,37.4786708,127.0366274,서초구
449,금강약국,1300,1900,37.5260254,127.0246603,강남구
450,삼우약국,1000,2100,37.4885214,127.0674325,강남구
451,양월약국,900,1900,37.4887105,127.0681053,강남구
452,서이약국,1000,1700,37.4887091,127.0532038,강남구
453,대치필리아약국,1400,2200,37.497729,127.054481,강남구
454,건강한세상행복한약국,0,2400,37.5058792,127.0242552,강남구
455,동명온누리약국,1000,2100,37.4978042,127.0526264,강남구
456,인선약국,1400,2130,37.521986,127.0391673,강남구
457,호원약국,1800,2200,37.5084972,127.0404872,강남구
458,케이팜약국,930,1900,37.4971078,127.0547704,강남구
459,명옥약국,1000,2100,37.5278022,127.0304445,강남구
460,에이엔씨약국,1000,2000,37.5194669,127.0288329,강남구
461,강남프라자약국,1000,2000,37.516535,127.0383255,강남구
462,행복한미래약국,730,1230,37.5162026,127.0350187,강남구
463,압구정스타약국,1200,2200,37.5248302,127.0253728,강남구
464,한솔인유로온누리약국,1000,1300,37.4992239,127.048424,강남구
465,역삼이화약국,1400,1800,37.4957269,127.0396271,강남구
466,유니팜서울약국,1000,1800,37.4987872,127.0289786,강남구
467,청담수약국,900,1700,37.5183881,127.0466174,강남구
468,청담이화약국,900,2200,37.5161739,127.0434589,강남구
469,강남백세약국,1000,1900,37.4980721,127.0595341,강남구
470,도심공항약국,800,1800,37.5095948,127.0594292,강남구
471,더블유수약국,1100,2100,37.528674,127.0360132,강남구
472,신사수약국,1030,1830,37.5247342,127.0274998,강남구
473,건강한세상행복한약국,0,2400,37.5016208,127.0407561,강남구
474,팜엑스약국,900,2130,37.5101935,127.0585824,강남구
475,아이조은약국,930,1330,37.514916,127.0526194,강남구
476,논현필리아약국,1000,1900,37.5137306,127.0422707,강남구
477,메디칼청실약국,1100,2100,37.4931295,127.059154,강남구
478,나무약국,1000,1400,37.5009285,127.0509776,강남구
479,강남세계로약국,1030,1900,37.4751724,127.0475668,강남구
480,강남웰약국,1000,2030,37.5012747,127.0266415,강남구
481,강남조은약국,930,1330,37.4853251,127.0377431,강남구
482,기쁨약국,1030,2230,37.4786308,127.0477016,강남구
483,제일그랜드약국,600,3000,37.5050679,127.024656,강남구
484,아로마약국,900,1300,37.4978179,127.0428054,강남구
485,외대조은약국,1000,2400,37.5797234,127.0372246,동대문구
486,봄봄약국,900,1400,37.540738,127.1472826,강동구
487,신사굿약국,1000,1800,37.5166836,127.0218544,강남구
488,다정약국,900,1600,37.6061625,127.0148478,성북구
489,연신종로약국,1000,2100,37.6203449,126.924958,은평구
490,구로프라자약국,900,2200,37.4884327,126.8564568,구로구
491,치료의빛예은약국,900,2230,37.5392307,127.0626599,광진구
492,베네시티약국,900,1800,37.540481,127.1249608,강동구
493,삼화약국,1000,2000,37.5808208,127.0457652,동대문구
494,미소온누리약국,1200,1900,37.4803223,126.9145088,관악구
495,아이사랑태평양약국,900,1700,37.510819,126.8806271,구로구
496,가족건강약국,800,2200,37.511377,126.9317385,동작구
497,큰길약국,930,2200,37.4958237,127.0292104,강남구
498,아이파크약국,900,2100,37.5589219,127.1551489,강동구
499,노바약국,1400,2200,37.5074696,127.0272194,강남구
500,종로우리약국,800,2200,37.5706553,127.0000414,종로구
501,판다약국,1000,2230,37.5626814,126.9840287,중구
502,아이파크약국,900,1300,37.4800023,127.144229,송파구
503,고연뿌리약국,900,2200,37.4892201,126.992214,서초구
504,소아제일약국,800,1800,37.5541064,126.9684622,용산구
505,무궁화약국,900,2200,37.6375011,127.0704581,노원구
506,365프라자약국,1000,1600,37.6162355,127.0792636,중랑구
507,씨티약국,1000,2000,37.4997597,127.0271441,강남구
508,압구정온누리약국,1100,1700,37.5264815,127.0276344,강남구
509,길동보룡약국,900,2200,37.5376585,127.140232,강동구
510,참조은약국,930,1600,37.5426383,126.9518887,마포구
511,메디팜더미소약국,900,2100,37.4779201,127.1271843,송파구
512,강남센느약국,1300,1800,37.497689,127.029031,강남구
513,굿약국,1000,1900,37.4999834,127.0259797,서초구
514,반가운약국,1100,2030,37.4919649,127.1254739,송파구
515,제인약국,900,1300,37.5886642,126.9447635,서대문구
516,참약사약국,900,1330,37.6011247,127.0338991,성북구
517,참약국,1030,2300,37.5545666,126.9296725,마포구
518,delight이화약국,1400,2200,37.551221,126.9122889,마포구
519,모래내약국,1000,2000,37.5695486,126.9149256,서대문구
520,햇빛약국,800,1400,37.5412413,126.9489446,마포구
521,합정동산약국,1000,2200,37.5489656,126.9134767,마포구
522,한성약국,1000,1400,37.5753938,127.0548231,동대문구
523,서원약국,1000,2000,37.4854804,127.0163386,서초구
524,맑은샘약국,900,1400,37.5528666,127.0223753,성동구
525,참플러스약국,900,1200,37.5118576,127.112796,송파구
526,조아약국,1300,1900,37.5531859,126.8263802,강서구
527,유정온누리약국,900,1400,37.4974708,126.9207916,동작구
528,호호약국,1300,2200,37.4842235,126.9276952,관악구
529,숭인약국,1100,2100,37.614099,127.0296604,강북구
530,구룡약국,930,1330,37.518809,126.8636099,양천구
531,i튼튼약국,900,1700,37.6710279,127.0529519,노원구
532,삼성약국,900,1400,37.5988352,127.0220935,성북구
533,명동명약국,930,2130,37.5667752,126.9794837,중구
534,행복한우리들약국,900,1400,37.5069379,127.0927552,송파구
535,휴베이스다정약국,1000,2200,37.4762755,126.9647868,관악구
536,월드중앙약국,1000,1900,37.5177414,127.1016565,송파구
537,초이스약국,900,2200,37.4963126,127.0278447,서초구
538,온유약국,800,2000,37.5711641,127.0005429,종로구
